name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,779,6,153,9,-0.18402925218211807,60.0,5.555555555555555,0.14450579272761105
IsNested,785,0,162,0,-0.2063694267515921,0.0,0.0,0.0
HasNestedMethods,723,62,135,27,-0.4670047967287878,30.337078651685395,16.666666666666664,0.11315736684232527
HasFunctions,562,223,84,78,-1.2861445309428317,25.91362126245847,48.148148148148145,0.1596434423546384
IsFunction,778,7,154,8,-0.19892270189510075,53.333333333333336,4.938271604938271,0.12204608721094477
HasFunctionParameters,60,725,17,145,-4.525469843516551,16.666666666666664,89.50617283950618,-0.03927450195180365
HasHigherOrderCalls,603,182,84,78,-0.9808288118266881,30.0,48.148148148148145,0.2106355319095675
HasFunctionCalls,63,722,13,149,-4.473342769521112,17.106773823191734,91.9753086419753,1.0899128946616922e-05
HasCurrying,701,84,144,18,-0.6978532672800184,17.647058823529413,11.11111111111111,0.004985970756873117
HasPatternMatching,644,141,101,61,-0.8021074152708967,30.198019801980198,37.65432098765432,0.18102568385106654
HasLazyValues,756,29,148,14,-0.3180702995989617,32.55813953488372,8.641975308641975,0.08949070620553926
HasMultipleParameterLists,679,106,99,63,-0.5265785955807183,37.278106508875744,38.88888888888889,0.24965967433612007
FunctionalScoreBool,552,233,68,94,-1.241464181803884,28.74617737003058,58.0246913580247,0.22447652171099186
HasVariables,48,737,17,145,-4.614830541794447,16.439909297052154,89.50617283950618,-0.06522196985323422
HasVariableDefinitions,393,392,88,74,-2.574427931115828,15.879828326180256,45.67901234567901,-0.032067154132758534
HasInnerVariableAssignment,173,612,42,120,-3.870158056145316,16.39344262295082,74.07407407407408,-0.034947117159385914
HasOuterVariableUsage,20,765,4,158,-4.7265314146418165,17.118093174431202,97.53086419753086,0.001884088041157126
HasOuterVariableAssignment,15,770,4,158,-4.763765038924273,17.025862068965516,97.53086419753086,-0.014993921213527942
HasSideEffects,506,279,93,69,-1.7701816466147666,19.82758620689655,42.592592592592595,0.05507465698259078
IsSideEffect,295,490,65,97,-3.132932295352676,16.524701873935264,59.876543209876544,-0.01973384207605344
HasSideEffectCalls,646,139,102,60,-0.7946606904144053,30.15075376884422,37.03703703703704,0.17866831496315466
HasSideEffectFunctions,16,769,9,153,-4.793551938350238,16.594360086767896,94.44444444444444,-0.08261731900190927
ImperativeScoreBool,533,252,101,61,-1.6286938743414319,19.488817891373802,37.65432098765432,0.04444849679498161
HasPointsBool,443,342,62,100,-2.0084768420224886,22.624434389140273,61.72839506172839,0.1370842661515109
ParadigmScoreBool,530,255,71,91,-1.4276323032161669,26.300578034682083,56.17283950617284,0.1852505194963836
