name,count,mean,std,min,25%,50%,75%,max
FanOut,1641,12.610603290676417,17.84626379397411,0.0,4.0,6.0,15.0,184.0
FanIn,1641,3.0182815356489945,5.873122510274185,0.0,1.0,1.0,2.0,47.0
CouplingBetweenObjects,1641,15.494820231566118,19.639963706003925,0.0,5.0,7.0,18.0,192.0
DepthOfInheritance,1641,1.469835466179159,0.8864690355341778,0.0,1.0,2.0,2.0,4.0
LackOfCohesionInMethods,1641,1.2535039609993905,3.475922614162884,0.0,0.0,0.0,1.0,30.0
LinesOfCode,1641,57.737964655697745,152.90107858414967,1.0,3.0,8.0,26.0,1174.0
SourceLinesOfCode,1641,49.880560633759906,129.80235583069242,1.0,3.0,8.0,22.0,1009.0
CommentLinesOfCode,1641,12.449116392443631,56.296092233326036,0.0,0.0,0.0,0.0,571.0
CommentDensity,1641,0.041082385526355125,0.10731236302970651,0.0,0.0,0.0,0.0,0.8227848101265823
NumberOfChildren,1641,1.0176721511273614,3.557582721697118,0.0,0.0,0.0,0.0,41.0
ResponseForClass,1641,9.405850091407679,28.453039014667603,0.0,0.0,1.0,7.0,354.0
WeightedMethodCount,1641,5.086532602071907,14.378924965126824,0.0,0.0,0.0,3.0,144.0
CyclomaticComplexity,1641,2.0749542961608776,4.137999149875855,0.0,0.0,0.0,2.0,31.0
DepthOfNesting,1641,2.1035953686776354,4.879923329273555,0.0,0.0,0.0,0.0,30.0
OutDegree,1641,10.471663619744058,25.509454636041177,0.0,0.0,0.0,9.0,199.0
OutDegreeDistinct,1641,3.737355271176112,8.6474936493633,0.0,0.0,0.0,4.0,74.0
PatternSize,1641,5.260816575258988,16.72365730703192,0.0,0.0,0.0,0.0,170.0
NumberOfPatternVariables,1641,1.1322364411943937,4.218159398931385,0.0,0.0,0.0,0.0,46.0
