name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CountRecursiveCalls,8,5,3,62.5,2.941176470588235
CountNestedMethods,410,44,366,10.731707317073171,25.882352941176475
CountFunctions,298,76,222,25.503355704697988,44.70588235294118
IsFunction,8,1,7,12.5,0.5882352941176471
CountFunctionParameters,118,30,88,25.423728813559322,17.647058823529413
CountHigherOrderCalls,192,66,126,34.375,38.82352941176471
CountFunctionCalls,101,18,83,17.82178217821782,10.588235294117647
CountCurrying,8,1,7,12.5,0.5882352941176471
CountPatternMatching,275,55,220,20.0,32.35294117647059
CountLazyValues,16,5,11,31.25,2.941176470588235
CountParameterLists,176,42,134,23.863636363636363,24.705882352941178
FunctionalScoreCount,817,116,701,14.198286413708692,68.23529411764706
CountVariables,7,5,2,71.42857142857143,2.941176470588235
CountVariableDefinitions,4,3,1,75.0,1.7647058823529411
CountInnerVariableAssignment,4,3,1,75.0,1.7647058823529411
CountOuterVariableUsage,4,3,1,75.0,1.7647058823529411
CountOuterVariableAssignment,2,1,1,50.0,0.5882352941176471
CountSideEffects,61,32,29,52.459016393442624,18.823529411764707
IsSideEffect,15,2,13,13.333333333333334,1.1764705882352942
CountSideEffectCalls,29,12,17,41.37931034482759,7.0588235294117645
CountSideEffectFunctions,1,0,1,0.0,0.0
ImperativeScoreCount,61,32,29,52.459016393442624,18.823529411764707
HasPointsCount,824,117,707,14.199029126213592,68.82352941176471
ParadigmScoreCount,819,115,704,14.041514041514041,67.64705882352942
