name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FractionRecursiveCalls,184,9,175,4.891304347826087,1.5384615384615385
IsNested,186,7,179,3.763440860215054,1.1965811965811968
FractionNestedMethods,274,42,232,15.328467153284672,7.179487179487179
FractionFunctions,2716,432,2284,15.905743740795286,73.84615384615385
IsFunction,76,2,74,2.631578947368421,0.3418803418803419
HasFunctionParameters,1520,287,1233,18.88157894736842,49.059829059829056
FractionHigherOrderCalls,2485,418,2067,16.82092555331992,71.45299145299145
FractionFunctionCalls,742,114,628,15.363881401617252,19.48717948717949
FractionCurrying,209,16,193,7.655502392344498,2.735042735042735
FractionPatternMatching,653,115,538,17.611026033690656,19.65811965811966
FractionLazyValues,51,5,46,9.803921568627452,0.8547008547008548
HasMultipleParameterLists,1019,275,744,26.987242394504417,47.008547008547005
FunctionalScoreFraction,3142,481,2661,15.30872056015277,82.22222222222221
FractionVariables,463,10,453,2.159827213822894,1.7094017094017095
FractionVariableDefinitions,150,7,143,4.666666666666667,1.1965811965811968
FractionInnerVariableAssignment,155,7,148,4.516129032258064,1.1965811965811968
FractionOuterVariableUsage,344,6,338,1.744186046511628,1.0256410256410255
FractionOuterVariableAssignment,52,1,51,1.9230769230769231,0.17094017094017094
FractionSideEffects,833,65,768,7.803121248499399,11.11111111111111
IsSideEffect,287,8,279,2.7874564459930316,1.3675213675213675
FractionSideEffectCalls,580,29,551,5.0,4.957264957264957
FractionSideEffectFunctions,59,7,52,11.864406779661017,1.1965811965811968
ImperativeScoreFraction,1032,66,966,6.395348837209303,11.282051282051283
HasPointsFraction,3494,490,3004,14.024041213508873,83.76068376068376
ParadigmScoreFraction,3431,490,2941,14.28155056834742,83.76068376068376
