name,precision,recall,mcc
CommentDensity,29.16666666666667,70.0,0.365220842162842
CommentLinesOfCode,40.625,50.0,0.4008918628686366
CouplingBetweenObjects,23.809523809523807,50.0,0.23183305358770825
CyclomaticComplexity,16.071428571428573,45.0,0.13605180020204566
DepthOfInheritance,17.142857142857142,50.0,0.06907857679097931
DepthOfNesting,23.529411764705877,40.0,0.21075536365440128
FanIn,8.173750583839327,30.0,-0.12857571271486287
FanOut,22.72727272727273,51.45631067961165,0.189823359033037
LackOfCohesionInMethods,15.068493150684931,60.19417475728155,0.13969537973608298
LinesOfCode,32.608695652173914,60.0,0.4173590806907489
NumberOfChildren,10.1010101010101,90.77669902912622,-0.020869596778242055
NumberOfPatternVariables,23.529411764705877,40.0,0.21075536365440128
OutDegree,30.76923076923077,60.0,0.3465593445280041
OutDegreeDistinct,11.797752808988767,40.77669902912621,0.0676176156826083
PatternSize,23.529411764705877,40.0,0.21075536365440128
ResponseForClass,20.0,44.174757281553404,0.12662611038491334
SourceLinesOfCode,31.25,50.0,0.4008918628686366
WeightedMethodCount,15.068493150684931,50.0,0.13969537973608298
