name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,1269,21,299,12,-0.2770009222562875,36.36363636363637,3.858520900321544,0.06211113411646366
IsNested,1290,0,311,0,-0.2410852713178293,0.0,0.0,0.0
HasNestedMethods,1204,86,219,92,-0.217141504025524,51.68539325842697,29.581993569131832,0.28839561689880205
HasFunctions,1129,161,190,121,-0.40071038659986535,42.90780141843972,38.90675241157556,0.27444903111245483
IsFunction,1272,18,296,15,-0.2530571549639822,45.45454545454545,4.823151125401929,0.09544667743542387
HasFunctionParameters,1198,92,236,75,-0.3089259453126947,44.91017964071856,24.115755627009648,0.2198272469769346
HasHigherOrderCalls,1158,132,200,111,-0.3248884568408983,45.67901234567901,35.69131832797427,0.2807109009603347
HasFunctionCalls,1180,110,243,68,-0.40869164236396704,38.20224719101123,21.864951768488748,0.1678600894147421
HasCurrying,1263,27,277,34,-0.21315087614347306,55.73770491803278,10.932475884244374,0.1826733294749729
HasPatternMatching,1036,254,155,156,-0.6321668037588175,38.048780487804876,50.160771704180064,0.2761924476015368
HasLazyValues,1254,36,279,32,-0.2570477828460329,47.05882352941176,10.289389067524116,0.14710756150644316
HasMultipleParameterLists,1099,191,162,149,-0.40869164236396704,43.8235294117647,47.90996784565916,0.32022516284161084
FunctionalScoreBool,1126,164,166,145,-0.3169072010767964,46.92556634304207,46.62379421221865,0.339938403974893
HasVariables,1203,87,235,76,-0.28498217802038917,46.62576687116564,24.437299035369776,0.2314760460542963
HasVariableDefinitions,1228,62,255,56,-0.2650290386101348,47.45762711864407,18.006430868167204,0.19986877305255454
HasInnerVariableAssignment,1228,62,257,54,-0.2730102943742365,46.55172413793103,17.363344051446948,0.1916344792863809
HasOuterVariableUsage,1260,30,275,36,-0.217141504025524,54.54545454545454,11.57556270096463,0.18407285443258556
HasOuterVariableAssignment,1264,26,273,38,-0.19319773673321872,59.375,12.218649517684888,0.2060545528322141
HasSideEffects,1119,171,202,109,-0.48850420000498507,38.92857142857143,35.048231511254016,0.22696037318069331
IsSideEffect,927,363,222,89,-1.3345173109997757,19.690265486725664,28.617363344051448,0.0041996957761667
HasSideEffectCalls,1025,265,147,164,-0.6441386874049702,38.22843822843823,52.73311897106109,0.2875478303353465
HasSideEffectFunctions,1265,25,286,25,-0.2410852713178293,50.0,8.038585209003216,0.13875759048258798
ImperativeScoreBool,1099,191,192,119,-0.528410478825494,38.387096774193544,38.263665594855304,0.23486166799287786
HasPointsBool,1117,173,156,155,-0.31291657319474564,47.256097560975604,49.839228295819936,0.35707852451473293
ParadigmScoreBool,1125,165,169,142,-0.332869712605,46.25407166123778,45.659163987138264,0.3303072935825641
CountRecursiveCalls,1269,21,299,12,-0.2770009222562875,36.36363636363637,3.858520900321544,0.06211113411646366
CountNestedDepth,1290,0,311,0,-0.2410852713178293,0.0,0.0,0.0
CountNestedMethods,1204,86,219,92,-0.217141504025524,51.68539325842697,29.581993569131832,0.28839561689880205
CountFunctions,1121,169,177,134,-0.3807572471896108,44.224422442244226,43.08681672025724,0.3028555433811471
CountFunctionParameters,1198,92,236,75,-0.3089259453126947,44.91017964071856,24.115755627009648,0.2198272469769346
CountHigherOrderCalls,1086,204,177,134,-0.5204292230613923,39.64497041420118,43.08681672025724,0.26439044684052687
CountFunctionCalls,1180,110,243,68,-0.40869164236396704,38.20224719101123,21.864951768488748,0.1678600894147421
CountCurrying,1263,27,277,34,-0.21315087614347306,55.73770491803278,10.932475884244374,0.1826733294749729
CountPatternMatching,1036,254,155,156,-0.6321668037588175,38.048780487804876,50.160771704180064,0.2761924476015368
CountLazyValues,1254,36,279,32,-0.2570477828460329,47.05882352941176,10.289389067524116,0.14710756150644316
CountParameterLists,1206,84,197,114,-0.12136643485630239,57.57575757575758,36.655948553054664,0.3622589464697316
FunctionalScoreCount,1120,170,162,149,-0.3248884568408983,46.70846394984326,47.90996784565916,0.3440023444686582
CountVariables,1206,84,235,76,-0.2730102943742365,47.5,24.437299035369776,0.2364604394398489
