name,count,mean,std,min,25%,50%,75%,max
IsRecursive,1233,0.002840445180505292,0.044345765163727034,0.0,0.0,0.0,0.0,1.0
IsNested,1233,3.526217426566522e-05,0.0012381995039373345,0.0,0.0,0.0,0.0,0.043478260869565216
HasNestedMethods,1233,0.05342040454687544,0.17887022452940582,0.0,0.0,0.0,0.0,1.0
HasFunctions,1233,0.24289379857107138,0.3575059260059369,0.0,0.0,0.0,0.5,1.0
IsFunction,1233,0.020924384766551275,0.11801806924950962,0.0,0.0,0.0,0.0,1.0
HasFunctionParameters,1233,0.06433573705229687,0.21220459594355429,0.0,0.0,0.0,0.0,1.0
HasHigherOrderCalls,1233,0.1853494713804365,0.31740934168586243,0.0,0.0,0.0,0.3333333333333333,1.0
HasFunctionCalls,1233,0.04216891502922703,0.17313046459408454,0.0,0.0,0.0,0.0,1.0
HasCurrying,1233,0.006260379253079984,0.06767019081321574,0.0,0.0,0.0,0.0,1.0
HasPatternMatching,1233,0.16271712099764482,0.302688130327614,0.0,0.0,0.0,0.2,1.0
HasLazyValues,1233,0.027857362021690868,0.13790975713103484,0.0,0.0,0.0,0.0,1.0
HasMultipleParameterLists,1233,0.15759926423422818,0.3356812477281065,0.0,0.0,0.0,0.0,1.0
FunctionalScoreBool,1233,0.9664025452078734,1.2721750871169761,0.0,0.0,0.5,1.6,7.0
HasVariables,1233,0.032066059618688414,0.13627458102070278,0.0,0.0,0.0,0.0,1.0
HasVariableDefinitions,1233,0.009850422682856831,0.06068119143219487,0.0,0.0,0.0,0.0,1.0
HasInnerVariableAssignment,1233,0.017085722858617862,0.0858707226061207,0.0,0.0,0.0,0.0,1.0
HasOuterVariableUsage,1233,0.02361562921173627,0.12256612551782331,0.0,0.0,0.0,0.0,1.0
HasOuterVariableAssignment,1233,0.011526231720878922,0.07959869633901279,0.0,0.0,0.0,0.0,1.0
HasSideEffects,1233,0.11269546218253325,0.2700292728555404,0.0,0.0,0.0,0.0,1.0
IsSideEffect,1233,0.059140261711958894,0.20543478028362377,0.0,0.0,0.0,0.0,1.0
HasSideEffectCalls,1233,0.07533103077653205,0.21488161440491158,0.0,0.0,0.0,0.0,1.0
HasSideEffectFunctions,1233,0.003032362609465428,0.038578940272093104,0.0,0.0,0.0,0.0,1.0
ImperativeScoreBool,1233,0.3443431833732679,0.8820491660427017,0.0,0.0,0.0,0.0,6.0
HasPointsBool,1233,0.4444013597717868,0.4305667468034745,0.0,0.0,0.4444444444444444,1.0,1.0
ParadigmScoreBool,1233,0.2848422920376422,0.4666507468681943,-1.0,0.0,0.0,0.6666666666666666,1.0
